Produto,Custo_Manufatura,Preco_Venda,Spread,Margem_Perc,Mercado_Venda,Sourcing_Insumos
Attuned Wrought Iron Heater,125.8,1500.0,1374.2,91.6,kerys-aven,Cracked Locket@kerys-aven; Fine Wooden Plank@ancien-tursan; Wrought Iron Sheet@ancien-astarac; Wrought Iron Studs@ancien-lavedan; Coarse Leather Band@merrie-ardbog
Warded Hunter's Bow,166.05,1000.0,833.95,83.4,inis_gallia-vitry,Carved Collarstone@inis_gallia-jura; Great Token of the Whisper@ancien-astarac; Bow Stave@kerys-pladenn; Boar Sinew@merrie-gael; Linseed Oil@kerys-aven; Coarse Leather Band@merrie-ardbog
Staff of Divine IV,330.45,1000.0,669.55,67.0,ancien-armanhac,Cuprite@kerys-dreger; Fine Spear Shaft@merrie-shire; Long Fine Wood Stock@kerys-llydaw; Cotton Cord@merrie-nene; Coarse Leather Band@merrie-ardbog; Linseed Oil@kerys-aven
Attuned Wrought Iron Battleaxe,111.2,700.0,588.8,84.1,inis_gallia-aras,Cracked Locket@kerys-aven; Axe Handle@ancien-tursan; Wrought Iron Axe Head@merrie-ulaid; Iron Nails@merrie-wiht; Coarse Leather Band@merrie-ardbog; Wrought Iron Spike@ancien-tursan
Attuned Two-handed  Wrought Iron Spear,104.0,600.0,496.0,82.7,ancien-tolosa,Cracked Locket@kerys-aven; Spear Shaft@inis_gallia-jura; Wrought Iron Spike@ancien-tursan; Bronze Nails@kerys-aven; Coarse Leather Band@merrie-ardbog; Wrought Iron Bar@inis_gallia-langres
Sylvan Staff IV,50.45,400.0,349.55,87.4,inis_gallia-vitry,Quicksilver@kerys-aven; Fine Spear Shaft@merrie-shire; Long Fine Wood Stock@kerys-llydaw; Cotton Cord@merrie-nene; Coarse Leather Band@merrie-ardbog; Linseed Oil@kerys-aven
Warded Staff of Divine II,1431.1,1750.0,318.9,18.2,kerys-tremen,Cracked Ethereal Crystal@inis_gallia-vitry; Locket of the Horizon@kerys-pladenn; Meadowsweet@kerys-pladenn; Spear Shaft@inis_gallia-jura; Iron Bar@inis_gallia-nones; Linen String@inis_gallia-langres; Coarse Leather Band@merrie-ardbog
Yule Crown of Winter,43.08,350.0,306.92,87.7,ancien-lavedan,Yule Berries@kerys-aven; Yule Wood@ancien-tolosa; Furry Collarstone@ancien-salias; Linen Cloth@inis_gallia-ardennes; Glue@inis_gallia-aras; Coarse Leather String@ancien-volvestre; Sow Thistle Extract@inis_gallia-trecassis
Attuned Wrought Iron Mace,1241.6,1500.0,258.4,17.2,kerys-tremen,Cracked Sigil@inis_gallia-langres; Mace Grip@inis_gallia-jura; Wrought Iron Ingot@kerys-tremen; Wrought Iron Spike@ancien-tursan; Coarse Leather Band@merrie-ardbog; Iron Nails@merrie-wiht
Barrel Pieces,23.07,250.0,226.93,90.8,kerys-llydaw,Copper Ingot@merrie-ardbog; Vial@ancien-lavedan; Bronze Sheet@inis_gallia-trecassis
Attuned Wrought Iron Handspear,104.0,300.0,196.0,65.3,inis_gallia-aras,Cracked Locket@kerys-aven; Spear Shaft@inis_gallia-jura; Wrought Iron Spike@ancien-tursan; Bronze Nails@kerys-aven; Coarse Leather Band@merrie-ardbog; Wrought Iron Bar@inis_gallia-langres
Yule Goat Mask,610.53,800.0,189.47,23.7,merrie-wiht,Pristine Goat Skull@ancien-tolosa; Medallion of the Lost@inis_gallia-ardennes; Worn Out Locket@kerys-llydaw; Suede Leather@kerys-tremen; Fur Leather@kerys-tremen; Stuffed Linen Padding@merrie-shire; Sow Thistle Extract@inis_gallia-trecassis
Golden Floral Headband,64.0,250.0,186.0,74.4,ancien-armanhac,Silver Ingot@kerys-tremen; Pearl@kerys-dolavon
Meirothea’s Yule Flame,18.29,200.0,181.71,90.9,ancien-volvestre,Yule Wood@ancien-tolosa; Yule Berries@kerys-aven; Furry Collarstone@ancien-salias; Sow Thistle Extract@inis_gallia-trecassis; Coarse Wool Cloth@merrie-gael
Herald's Helm of the Immovable II,352.71,500.0,147.29,29.5,inis_gallia-aras,Worn Out Locket@kerys-llydaw; Blessed Ligarius@inis_gallia-javerdus; Hemlock Sap@inis_gallia-javerdus; Iron Sheet@inis_gallia-langres; Coarse Leather Band@merrie-ardbog; Bronze Buckle@inis_gallia-nones; Iron Studs@ancien-astarac
Cleric's Alb of Cleansing II,1370.4,1500.0,129.6,8.6,kerys-dolavon,Cracked Ethereal Crystal@inis_gallia-vitry; Seal of the Lost Abbot@kerys-pladenn; Dandelion Extract@kerys-pladenn; Sewing Needles@kerys-dreger; Quilted Wool Padding@inis_gallia-langres; Coarse Leather Band@merrie-ardbog; Horn Buttons@kerys-aven
Attuned Sylvan Staff II,194.1,300.0,105.9,35.3,kerys-pladenn,Furry Collarstone@ancien-salias; Lily of the Valley Extract@inis_gallia-langres; Spear Shaft@inis_gallia-jura; Iron Bar@inis_gallia-nones; Linen String@inis_gallia-langres; Coarse Leather Band@merrie-ardbog
Wooden Cabinet,28.88,130.0,101.12,77.8,ancien-lavedan,Fine Wooden Plank@ancien-tursan; Iron Nails@merrie-wiht; Wrought Iron Hinges@kerys-tremen; Coarse Cotton Cloth@inis_gallia-vitry
Attuned Iron Heater,34.6,100.0,65.4,65.4,kerys-aven,Gadfly Larvae@ancien-lavedan; Plank@inis_gallia-langres; Iron Sheet@inis_gallia-langres; Iron Studs@ancien-astarac; Coarse Leather Band@merrie-ardbog
Ornamental Iron Chandelier,86.5,150.0,63.5,42.3,kerys-aven,Wrought Iron Sheet@ancien-astarac; Wrought Iron Studs@ancien-lavedan; Beeswax@ancien-tursan; Wrought Iron Bar@inis_gallia-langres
Triple Candle Stand,17.4,70.0,52.6,75.1,merrie-ardbog,Iron Sheet@inis_gallia-langres; Bronze Studs@kerys-aven; Tallow@merrie-wiht
Magus' Trousers of Dreambind II,1247.29,1299.0,51.71,4.0,ancien-armanhac,Worn Out Sigil@inis_gallia-langres; Amulet of Veil@kerys-pladenn; Aeonium@ancien-tolosa; Sewing Needles@kerys-dreger; Linen Cloth@inis_gallia-ardennes; Coarse Leather String@ancien-volvestre; Bronze Buckle@inis_gallia-nones; Coarse Leather Band@merrie-ardbog
Double Wall Candle Sconce,25.2,75.0,49.8,66.4,kerys-aven,Wrought Iron Sheet@ancien-astarac; Iron Studs@ancien-astarac; Tallow@merrie-wiht
Iron Chandelier,53.5,100.0,46.5,46.5,kerys-aven,Wrought Iron Sheet@ancien-astarac; Wrought Iron Studs@ancien-lavedan; Beeswax@ancien-tursan; Wrought Iron Bar@inis_gallia-langres
Chevron Shutter,4.54,50.0,45.46,90.9,kerys-retz,Fine Wooden Plank@ancien-tursan; Iron Nails@merrie-wiht; Wrought Iron Hinges@kerys-tremen; Bone Fragments@kerys-aven
Large Rain Lily Planter,2.16,45.0,42.84,95.2,merrie-shire,Fine Wooden Plank@ancien-tursan; Rain Lily@merrie-ardbog; Iron Nails@merrie-wiht
Mantle of the Scarlet Bird,85.12,125.0,39.88,31.9,kerys-dreger,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Aurum Thread@inis_gallia-vitry
Window Flowerpot,0.28,40.0,39.72,99.3,ancien-tolosa,Plank@inis_gallia-langres; Datura's Seed Pod@ancien-tolosa; Iron Nails@merrie-wiht
Cloak of the Sunspire,37.12,75.0,37.88,50.5,ancien-tolosa,Linen Cloth@inis_gallia-ardennes; Wool Yarn@ancien-tursan; Sewing Needles@kerys-dreger; Silver Thread@kerys-bronyr
Metal Candle Stand,16.6,50.0,33.4,66.8,merrie-ardbog,Iron Sheet@inis_gallia-langres; Bronze Studs@kerys-aven; Tallow@merrie-wiht
Candles on Dish,17.0,50.0,33.0,66.0,merrie-shire,Iron Sheet@inis_gallia-langres; Bronze Studs@kerys-aven; Tallow@merrie-wiht
Jewelcrafting Tools,17.54,50.0,32.46,64.9,kerys-dolavon,Amber@inis_gallia-aras; Heavy Top Grain Leather@merrie-nene; Bronze Bar@inis_gallia-aras; Bronze Ingot@ancien-volvestre
Trinity Diadem,170.0,200.0,30.0,15.0,inis_gallia-langres,Aurum Ingot@merrie-yarborn; Emerald@kerys-tremen
Founders Mantle,0.59,29.0,28.41,98.0,kerys-bronyr,Sewing Needles@kerys-dreger; Linen String@inis_gallia-langres; Coarse Linen Cloth@ancien-tursan
Wall Candle Sconce,24.8,50.0,25.2,50.4,kerys-aven,Wrought Iron Sheet@ancien-astarac; Iron Studs@ancien-astarac; Tallow@merrie-wiht
Little Yule Goat,75.13,100.0,24.87,24.9,inis_gallia-ardennes,Yule Wood@ancien-tolosa; Medallion of the Lost@inis_gallia-ardennes; Straw@kerys-bronyr
Rain Lily Planter,1.08,25.0,23.92,95.7,merrie-shire,Fine Wooden Plank@ancien-tursan; Rain Lily@merrie-ardbog; Iron Nails@merrie-wiht
Ambergrasp Extract,50.0,73.5,23.5,32.0,kerys-dolavon,Ambergrasp@merrie-ulaid
The Golden Hind of Trecassis,6.6,30.0,23.4,78.0,inis_gallia-nones,Linen Cloth@inis_gallia-ardennes; Long Wood Stock@kerys-aven; Linen String@inis_gallia-langres
Candle on Dish,16.6,40.0,23.4,58.5,merrie-shire,Iron Sheet@inis_gallia-langres; Bronze Studs@kerys-aven; Tallow@merrie-wiht
Sturdy Reinforced Chest,12.54,35.0,22.46,64.2,kerys-dreger,Plank@inis_gallia-langres; Iron Nails@merrie-wiht; Wrought Iron Hinges@kerys-tremen; Iron Sheet@inis_gallia-langres
Pilgrim's Pants IV,29.8,50.0,20.2,40.4,kerys-retz,Medium Top Grain Leather@merrie-yarborn; Cotton Cord@merrie-nene; Bronze Studs@kerys-aven; Linseed Oil@kerys-aven; Leather String@kerys-dolavon
The Spirit of Arduinna,9.85,30.0,20.15,67.2,inis_gallia-nones,Linen Cloth@inis_gallia-ardennes; Long Wood Stock@kerys-aven; Linen String@inis_gallia-langres
Alchemy Instruments,60.75,80.0,19.25,24.1,inis_gallia-ardennes,Glass@ancien-tolosa; Boiled Leather@kerys-llydaw; Bronze Bar@inis_gallia-aras; Nightshade Fruit@kerys-dreger
Dark Ceramic Jug,1.48,20.0,18.52,92.6,inis_gallia-langres,Clay@merrie-yarborn; Water@ancien-armanhac; Tallow@merrie-wiht; Charcoal@merrie-shire
Small Ceramic Jug,1.48,20.0,18.52,92.6,inis_gallia-langres,Clay@merrie-yarborn; Water@ancien-armanhac; Tallow@merrie-wiht; Charcoal@merrie-shire
Fired Ceramic Jug,1.48,20.0,18.52,92.6,inis_gallia-langres,Clay@merrie-yarborn; Water@ancien-armanhac; Tallow@merrie-wiht; Charcoal@merrie-shire
Ceramic Jug,1.48,20.0,18.52,92.6,inis_gallia-langres,Clay@merrie-yarborn; Water@ancien-armanhac; Tallow@merrie-wiht; Charcoal@merrie-shire
Tall Ornamental Iron Chandelier,131.5,150.0,18.5,12.3,inis_gallia-ardennes,Wrought Iron Sheet@ancien-astarac; Wrought Iron Studs@ancien-lavedan; Beeswax@ancien-tursan; Wrought Iron Bar@inis_gallia-langres
Bronze Amber Ring,2.54,20.0,17.46,87.3,merrie-ardbog,Bronze Ingot@ancien-volvestre; Amber@inis_gallia-aras
Tempered Iron Pickaxe,83.21,100.0,16.79,16.8,kerys-dolavon,Worn Out Locket@kerys-llydaw; Axe Handle@ancien-tursan; Iron Spike@inis_gallia-nones; Iron Bar@inis_gallia-nones; Coarse Leather Band@merrie-ardbog
Trickster's Doublet of the Whiplash II,408.21,425.0,16.79,3.9,kerys-llydaw,Worn Out Locket@kerys-llydaw; Seal of Creed@inis_gallia-langres; Obsidian@kerys-vanes; Suede Leather@kerys-tremen; Weapons Belt@kerys-bronyr; Bronze Studs@kerys-aven
Staff of Zephyr III,34.6,50.0,15.4,30.8,inis_gallia-ardennes,Starwort Extract@inis_gallia-trecassis; Spear Shaft@inis_gallia-jura; Long Fine Wood Stock@kerys-llydaw; Wool Yarn@ancien-tursan; Coarse Leather Band@merrie-ardbog; Linseed Oil@kerys-aven; Bronze Sheet@inis_gallia-trecassis
Lupus and the White Hart,14.85,30.0,15.15,50.5,inis_gallia-nones,Linen Cloth@inis_gallia-ardennes; Long Wood Stock@kerys-aven; Linen String@inis_gallia-langres
Carpenter's Tools,6.0,20.0,14.0,70.0,inis_gallia-aras,Wrought Iron Nails@kerys-llydaw; Boiled Leather@kerys-llydaw
Tall Ceramic Candleholder,1.15,15.0,13.85,92.3,kerys-aven,Clay@merrie-yarborn; Water@ancien-armanhac; Tallow@merrie-wiht; Charcoal@merrie-shire
Staff of Divine III,37.0,50.0,13.0,26.0,inis_gallia-ardennes,Pasque Flower Extract@merrie-down; Spear Shaft@inis_gallia-jura; Long Fine Wood Stock@kerys-llydaw; Wool Yarn@ancien-tursan; Coarse Leather Band@merrie-ardbog; Linseed Oil@kerys-aven; Bronze Sheet@inis_gallia-trecassis
Leatherworking Tools,29.2,40.0,10.8,27.0,merrie-yarborn,Long Fine Wood Stock@kerys-llydaw; Iron Knife Blade@merrie-ulaid; Inferior Leather@kerys-tremen; Bronze Bar@inis_gallia-aras
Chiseled Canonites,90.0,100.0,10.0,10.0,kerys-dolavon,Canonite@kerys-bronyr
Cotton Wadding,40.0,50.0,10.0,20.0,merrie-down,Coarse Cotton Cloth@inis_gallia-vitry; Cotton Cord@merrie-nene; Horn Needles@kerys-tremen
Ceramic Candleholder,1.15,10.0,8.85,88.5,kerys-pladenn,Clay@merrie-yarborn; Water@ancien-armanhac; Tallow@merrie-wiht; Charcoal@merrie-shire
Aurum Ingot,11.8,20.0,8.2,41.0,merrie-yarborn,Aurum Ore@ancien-tursan; Charcoal@merrie-shire
Brushed Bronze Onyx Ring,2.5,10.0,7.5,75.0,inis_gallia-javerdus,Bronze Ingot@ancien-volvestre; Onyx@kerys-aven
Tempered Iron Chopping Axe,2.51,10.0,7.49,74.9,ancien-armanhac,Worn Out Locket@kerys-llydaw; Long Wood Stock@kerys-aven; Iron Axe Head@ancien-tursan; Coarse Leather Band@merrie-ardbog
Slender Bronze Amber Ring,2.54,10.0,7.46,74.6,inis_gallia-javerdus,Bronze Ingot@ancien-volvestre; Amber@inis_gallia-aras
Small Amber Amulet,4.08,11.0,6.92,62.9,inis_gallia-jura,Bronze Ingot@ancien-volvestre; Amber@inis_gallia-aras
Stone Window Flowerpot,0.76,7.5,6.74,89.9,merrie-ardbog,Gneiss@inis_gallia-vitry; Periwinkle@kerys-bronyr; Garlic@kerys-pladenn
Moonveil Shoes,4.82,11.0,6.18,56.2,merrie-shire,Fine Leather@merrie-ardbog; Sewing Needles@kerys-dreger
Silver Cuff,4.0,10.0,6.0,60.0,kerys-pladenn,Silver Ingot@kerys-tremen
Fletching Tools,14.85,20.0,5.15,25.8,inis_gallia-aras,Heavy Top Grain Leather@merrie-nene; Iron Knife Blade@merrie-ulaid; Iron Nails@merrie-wiht; Linseed Oil@kerys-aven
Pilgrim's Gloves IV,10.5,15.0,4.5,30.0,kerys-tremen,Medium Top Grain Leather@merrie-yarborn; Cotton Cord@merrie-nene; Linseed Oil@kerys-aven
Small Wicker Window Flowerpot,1.08,5.0,3.92,78.4,ancien-armanhac,Sapwood@merrie-gael; Rain Lily@merrie-ardbog; Starwort@kerys-pladenn
Wicker Window Flowerpot,1.08,5.0,3.92,78.4,ancien-armanhac,Sapwood@merrie-gael; Rain Lily@merrie-ardbog; Starwort@kerys-pladenn
Gallian Gargoyle,0.12,4.0,3.88,97.0,merrie-bearm,Gneiss@inis_gallia-vitry
Horn Needles,0.15,4.0,3.85,96.2,kerys-tremen,Antler@merrie-ardbog
Table Lamp,2.16,6.0,3.84,64.0,inis_gallia-vitry,Bronze Ingot@ancien-volvestre; Tallow@merrie-wiht
Hunters Chandelier,1.22,5.0,3.78,75.7,merrie-nene,Antler@merrie-ardbog; Copper Ingot@merrie-ardbog; Resin@merrie-yarborn
Ceramic Bowl,1.68,5.0,3.32,66.4,merrie-ulaid,Clay@merrie-yarborn; Water@ancien-armanhac; Tallow@merrie-wiht; Charcoal@merrie-shire
Banquet Table,6.7,10.0,3.3,33.0,kerys-tremen,Fine Wooden Plank@ancien-tursan; Wrought Iron Nails@kerys-llydaw; Fine Wood Beam@ancien-tursan
Spear Shaft,1.7,5.0,3.3,66.0,inis_gallia-jura,Long Wood Stock@kerys-aven; Coarse Leather Band@merrie-ardbog; Bronze Nails@kerys-aven
Lidded Iron Kettle,36.76,40.0,3.24,8.1,kerys-aven,Wrought Iron Sheet@ancien-astarac; Iron Studs@ancien-astarac; Tallow@merrie-wiht
Iron Cooking Pot,36.76,40.0,3.24,8.1,kerys-aven,Wrought Iron Sheet@ancien-astarac; Iron Studs@ancien-astarac; Tallow@merrie-wiht
Founders Emblem,0.22,3.0,2.78,92.8,ancien-astarac,Tin Ingot@merrie-nene; Blizzard Stone@kerys-aven
Broad Onyx Bronze Ring,2.5,5.0,2.5,50.0,ancien-volvestre,Bronze Ingot@ancien-volvestre; Onyx@kerys-aven
Pottery Molds,2.54,5.0,2.46,49.2,kerys-dreger,Plank@inis_gallia-langres; Clay@merrie-yarborn; Bronze Nails@kerys-aven
Large Wooden Barrel,23.7,26.0,2.3,8.8,kerys-pladenn,Plank@inis_gallia-langres; Iron Bar@inis_gallia-nones; Iron Nails@merrie-wiht
Wrought Iron Cuirass,52.75,55.0,2.25,4.1,kerys-bronyr,Wrought Iron Sheet@ancien-astarac; Iron Hinges@merrie-ulaid; Bronze Studs@kerys-aven
Construction Hammer,0.04,2.0,1.96,98.0,merrie-shire,Sapwood@merrie-gael; Gneiss@inis_gallia-vitry
Hunters Table,0.26,2.0,1.74,87.0,merrie-nene,Plank@inis_gallia-langres; Wooden Beam@merrie-ardbog
Attuned Bronze Broadsword,0.32,2.0,1.68,83.9,merrie-yarborn,Datura's Seed Pod@ancien-tolosa; Bronze Sword Blade@merrie-nene; Sapwood@merrie-gael
Attuned Sylvan Staff,0.42,2.0,1.58,79.0,ancien-astarac,Bee Balm@inis_gallia-nones; Long Wood Stock@kerys-aven; Bronze Studs@kerys-aven
Attuned Bronze Greatsword,0.44,2.0,1.56,77.9,inis_gallia-vitry,Dandelion@merrie-ardbog; Bronze Sword Blade@merrie-nene; Sapwood@merrie-gael
Iron Bar,10.0,11.5,1.5,13.0,inis_gallia-nones,Iron Ingot@merrie-yarborn
Wyvern Sconce,0.73,2.0,1.27,63.3,ancien-astarac,Copper Ingot@merrie-ardbog
Wooden Winch,1.8,3.0,1.2,40.0,inis_gallia-ardennes,Sapwood@merrie-gael; Flax Fiber@inis_gallia-morvan
Wolfsbane Leaf Extract,0.88,2.0,1.12,56.0,merrie-ulaid,Wolfsbane's Leaves@inis_gallia-langres; Charcoal@merrie-shire; Water@ancien-armanhac
Founders Shoes,0.9,2.0,1.1,55.0,ancien-lavedan,Nubuck Leather@inis_gallia-morvan; Coarse Leather Band@merrie-ardbog
Hammered Silver Bracelet,4.0,5.0,1.0,20.0,inis_gallia-ardennes,Silver Ingot@kerys-tremen
Pointy Stick,0.04,1.0,0.96,96.0,kerys-vanes,Sapwood@merrie-gael
Stone Pickaxe,0.06,1.0,0.94,94.0,kerys-bronyr,Sapwood@merrie-gael; Gneiss@inis_gallia-vitry
Gneiss Stone Axe,0.06,1.0,0.94,94.0,kerys-dolavon,Sapwood@merrie-gael; Gneiss@inis_gallia-vitry
Fine Wooden Bowl,0.08,1.0,0.92,92.0,ancien-armanhac,Fine Wooden Plank@ancien-tursan
Crude Skinning Knife,0.1,1.0,0.9,90.0,merrie-yarborn,Sapwood@merrie-gael; Gneiss@inis_gallia-vitry
Wooden Shield,0.12,1.0,0.88,88.0,kerys-dreger,Sapwood@merrie-gael
Founders Chausses,1.14,2.0,0.86,43.0,kerys-retz,Sewing Needles@kerys-dreger; Linen String@inis_gallia-langres; Coarse Linen Cloth@ancien-tursan
Yule Charm,0.17,1.0,0.83,83.3,merrie-shire,Tin Ingot@merrie-nene
Simple bronze band,0.17,1.0,0.83,83.3,kerys-dolavon,Tin Ingot@merrie-nene
Hunters Bench,0.18,1.0,0.82,82.0,ancien-astarac,Plank@inis_gallia-langres; Wooden Beam@merrie-ardbog
Attuned Two-handed Bronze Spear,2.2,3.0,0.8,26.7,merrie-shire,Tansy Extract@inis_gallia-trecassis; Long Wood Stock@kerys-aven; Bronze Spike@kerys-dreger
Founders Finery,2.24,3.0,0.76,25.3,kerys-pladenn,Sewing Needles@kerys-dreger; Linen String@inis_gallia-langres; Coarse Linen Cloth@ancien-tursan
Bronze Greatsword,0.24,1.0,0.76,75.7,merrie-down,Bronze Sword Blade@merrie-nene; Sapwood@merrie-gael
Bronze Broadsword,0.24,1.0,0.76,75.7,kerys-vanes,Bronze Sword Blade@merrie-nene; Sapwood@merrie-gael
Blizzard Stone Amulet,0.27,1.0,0.73,73.3,kerys-dreger,Tin Ingot@merrie-nene; Blizzard Stone@kerys-aven
Ceramic Pot,2.27,3.0,0.73,24.3,merrie-wiht,Clay@merrie-yarborn; Water@ancien-armanhac; Tallow@merrie-wiht; Charcoal@merrie-shire
Stone Planter,0.32,1.0,0.68,68.0,merrie-ardbog,Gneiss@inis_gallia-vitry; Sage@merrie-ardbog
Animal Hide,1.0,1.6666666666666667,0.67,40.0,inis_gallia-langres,Large Animal Hide@kerys-aven
Attuned Staff of Divine,0.34,1.0,0.66,66.0,kerys-dreger,Daisy@inis_gallia-trecassis; Long Wood Stock@kerys-aven; Bronze Studs@kerys-aven
Staff of Divine,0.34,1.0,0.66,66.0,kerys-aven,Daisy@inis_gallia-trecassis; Long Wood Stock@kerys-aven; Bronze Studs@kerys-aven
Wooden Window Flowerpot,0.36,1.0,0.64,64.0,merrie-nene,Plank@inis_gallia-langres; Periwinkle@kerys-bronyr; Iron Nails@merrie-wiht
Slender Bronze Earring,0.37,1.0,0.63,63.3,kerys-dreger,Copper Ingot@merrie-ardbog
Attuned Staff of Zephyr,0.4,1.0,0.6,60.0,kerys-dreger,Meadowsweet Extract@inis_gallia-trecassis; Long Wood Stock@kerys-aven; Bronze Studs@kerys-aven
Basic Leatherworking Tools,0.4,1.0,0.6,60.0,kerys-aven,Bone Fragments@kerys-aven; Sapwood@merrie-gael; Flint@ancien-salias
Sylvan Staff,0.42,1.0,0.58,58.0,merrie-nene,Bee Balm@inis_gallia-nones; Long Wood Stock@kerys-aven; Bronze Studs@kerys-aven
Wyvern Wind Vane,1.47,2.0,0.53,26.7,inis_gallia-atigny,Copper Ingot@merrie-ardbog
Pilgrim's Bracers,0.5,1.0,0.5,50.0,kerys-bronyr,Nubuck Leather@inis_gallia-morvan
Heavy Top Grain Leather,0.5,1.0,0.5,50.0,merrie-nene,Inferior Leather@kerys-tremen
Pilgrim's Gloves,0.5,1.0,0.5,50.0,kerys-llydaw,Nubuck Leather@inis_gallia-morvan
Pilgrim's Breeches,0.52,1.0,0.48,48.0,kerys-bronyr,Sewing Needles@kerys-dreger; Coarse Linen Cloth@ancien-tursan
Weapons Belt,0.54,1.0,0.46,46.0,kerys-bronyr,Rough Leather Straps@inis_gallia-langres; Glue@inis_gallia-aras
Mace Grip,4.55,5.0,0.45,9.0,inis_gallia-jura,Iron Sheet@inis_gallia-langres; Coarse Leather Band@merrie-ardbog; Bronze Studs@kerys-aven
Small Topaz Amulet,0.57,1.0,0.43,43.3,kerys-aven,Copper Ingot@merrie-ardbog; Topaz@ancien-volvestre
Shepherd's Hairband of Quiet Gaze,0.59,1.0,0.41,41.0,merrie-nene,Sewing Needles@kerys-dreger; Coarse Linen Cloth@ancien-tursan; Linen String@inis_gallia-langres
Medium Top Grain Leather,0.6,0.95,0.35,36.8,merrie-yarborn,Fine Leather@merrie-ardbog
Stool,0.08,0.4,0.32,80.0,inis_gallia-vitry,Plank@inis_gallia-langres
Vanguard's Breeches of Holy Strikes,1.7,2.0,0.3,15.0,kerys-bronyr,Nubuck Leather@inis_gallia-morvan; Coarse Leather String@ancien-volvestre
Wooden Wall Shelf,0.12,0.4,0.28,70.0,inis_gallia-ardennes,Plank@inis_gallia-langres
Round Flower Pot,0.52,0.8,0.28,35.0,ancien-maremna,Clay@merrie-yarborn; Rain Lily@merrie-ardbog
Pilgrim's Marchers,0.74,1.0,0.26,26.0,kerys-dreger,Dandelion@merrie-ardbog; Nubuck Leather@inis_gallia-morvan; Coarse Leather String@ancien-volvestre
Rawhide,0.2,0.45,0.25,55.6,inis_gallia-langres,Rough Animal Hide@kerys-tremen
